scaffold.name	scaffold.length
NT_167897.1	221146
NT_167910.1	220969
NT_167892.1	220844
NT_167900.1	218875
NT_167901.1	218414
NT_167899.1	217752
NT_167898.1	217416
NT_167902.1	217054
NT_167940.1	216734
NT_167905.1	215759
NT_167904.1	214786
NT_167903.1	214712
NT_167914.1	214281
NT_167906.1	213515
NT_167912.1	213198
NT_167907.1	212121
NT_167908.1	211872
NT_167909.1	211159
NT_167911.1	209826
NT_167915.1	209633
NT_167917.1	208408
NT_167919.1	207408
NT_167916.1	206390
NT_167918.1	204389
NT_167950.1	204336
NT_167922.1	203667
NT_167923.1	202960
NT_167921.1	202211
NT_167926.1	200711
NT_167925.1	200631
NT_167924.1	200577
NT_167928.1	198583
NT_167929.1	197812
NT_167931.1	197315
NT_167930.1	196901
NT_167932.1	193579
NT_167933.1	193541
NT_167936.1	193418
NT_167934.1	192696
NT_167935.1	192649
NT_167937.1	192133
NT_167938.1	192042
NT_167939.1	190401
NT_167942.1	188811
NT_167941.1	188496
NT_167943.1	186879
NT_167945.1	182110
NT_167948.1	181278
NT_167946.1	181085
NT_167944.1	180182
NT_167968.1	179379
NT_167947.1	179365
NT_167949.1	179186
NT_167955.1	178097
NT_167951.1	177697
NT_167952.1	176092
NT_167954.1	173975
NT_167959.1	173896
NT_167953.1	173796
NT_167964.1	173542
NT_167956.1	172399
NT_167958.1	171156
NT_167957.1	170835
NT_167960.1	169606
NT_167961.1	168139
NT_167963.1	167943
NT_167967.1	167888
NT_167965.1	167408
NT_168018.1	167161
NT_167966.1	166542
NT_167969.1	165472
NT_167970.1	162982
NT_167971.1	162798
NT_167972.1	162758
NT_167974.1	162707
NT_167993.1	161938
NT_167997.1	161914
NT_167973.1	160472
NT_167975.1	160302
NT_167981.1	158655
NT_167977.1	158006
NT_167976.1	157527
NT_167979.1	157131
NT_167980.1	156973
NT_167982.1	156818
NT_167991.1	156269
NT_167983.1	156044
NT_167996.1	155904
NT_167984.1	155837
NT_167985.1	155258
NT_167989.1	154900
NT_167988.1	154395
NT_167987.1	154312
NT_167986.1	154261
NT_167995.1	153330
NT_167990.1	152621
NT_167994.1	151427
NT_167992.1	151272
NT_167998.1	147969
NT_167999.1	147784
NT_168001.1	147419
NT_168000.1	147198
NT_168002.1	143999
NT_168003.1	143551
NT_168016.1	143513
NT_168004.1	140433
NT_168005.1	140288
NT_168010.1	137422
NT_168006.1	137364
NT_168009.1	136751
NT_168012.1	136321
NT_168007.1	136218
NT_168008.1	135906
NT_168011.1	134818
NT_168015.1	132558
NT_168013.1	132148
NT_168014.1	131576
NT_168025.1	131475
NT_168017.1	131373
NT_168019.1	130822
NT_168020.1	130600
NT_168021.1	130454
NT_168022.1	129997
NT_168023.1	129593
NT_168024.1	128964
NT_168026.1	128827
NT_168027.1	127982
NT_168028.1	127290
NT_168029.1	126072
NT_168030.1	126005
NT_168031.1	125103
NT_168032.1	125002
NT_168033.1	124085
NT_168034.1	124013
NT_168060.1	123931
NT_168036.1	123742
NT_168035.1	123376
NT_168037.1	122693
NT_168038.1	121451
NT_168041.1	121273
NT_168039.1	121024
NT_168040.1	120660
NT_168042.1	120053
NT_168050.1	119220
NT_168043.1	118392
NT_168044.1	117723
NT_168047.1	117435
NT_168045.1	116924
NT_168046.1	116778
NT_168049.1	116776
NT_168048.1	115905
NT_168051.1	115556
NT_168052.1	114255
NT_168053.1	112187
NT_168054.1	112096
NT_168055.1	111586
NT_168134.1	111329
NT_168064.1	111108
NT_168058.1	110659
NT_168056.1	110329
NT_168057.1	110209
NT_168059.1	108958
NT_168063.1	108007
NT_168061.1	107701
NT_168062.1	107586
NT_168065.1	106063
NT_168066.1	105074
NT_168067.1	104993
NT_168068.1	104927
NT_168069.1	104783
NT_168070.1	103810
NT_168071.1	103681
NT_168075.1	103390
NT_168074.1	103348
NT_168072.1	102724
NT_168073.1	102575
NT_168076.1	101467
NT_168079.1	101152
NT_168078.1	100545
NT_168080.1	100034
NT_168082.1	99689
NT_168083.1	99516
NT_168081.1	99264
NT_168085.1	98918
NT_168090.1	98277
NT_168084.1	98112
NT_168087.1	96681
NT_168088.1	96088
NT_168089.1	96048
NT_168091.1	94641
NT_168092.1	93922
NT_168100.1	93774
NT_168093.1	93638
NT_168094.1	93381
NT_168095.1	93069
NT_168096.1	93025
NT_168097.1	92598
NT_168098.1	92041
NT_168099.1	91947
NT_168109.1	91887
NT_168101.1	91431
NT_168102.1	91019
NT_168104.1	90863
NT_168103.1	89760
NT_168122.1	89570
NT_168105.1	89508
NT_168106.1	89353
NT_168112.1	88567
NT_168107.1	88114
NT_168108.1	87906
NT_168113.1	87224
NT_168115.1	87041
NT_168110.1	86846
NT_168111.1	86788
NT_168116.1	86729
NT_168119.1	86542
NT_168114.1	86316
NT_168117.1	85533
NT_168118.1	85444
NT_168123.1	84980
NT_168120.1	84638
NT_168121.1	84199
NT_168124.1	83031
NT_168126.1	82397
NT_168125.1	82222
NT_168127.1	81473
NT_168138.1	80736
NT_168128.1	80024
NT_168129.1	79861
NT_168131.1	79070
NT_168152.1	78067
NT_168132.1	77895
NT_168150.1	77556
NT_168135.1	77176
NT_168133.1	76816
NT_168136.1	76258
NT_168137.1	75735
NT_168139.1	75560
NT_168144.1	75460
NT_168141.1	75438
NT_168140.1	75348
NT_168142.1	74819
NT_168145.1	74749
NT_168143.1	74015
NT_168146.1	73125
NT_168147.1	72115
NT_168148.1	71693
NT_168149.1	71403
NT_168153.1	70626
NT_168151.1	69697
NT_168175.1	68909
NT_168154.1	68252
NT_168156.1	68184
NT_168155.1	68115
NT_168159.1	67792
NT_168158.1	66869
NT_168162.1	66289
NT_168160.1	66089
NT_168161.1	65951
NT_168164.1	65257
NT_168163.1	65140
NT_168168.1	64730
NT_168165.1	64669
NT_168166.1	64643
NT_168167.1	64551
NT_168171.1	64375
NT_168169.1	63896
NT_168170.1	63663
NT_168174.1	63490
NT_168172.1	62534
NT_168173.1	62366
NT_168176.1	61963
NT_168179.1	61751
NT_168177.1	61607
NT_168178.1	61018
NT_168180.1	60715
NT_168181.1	60634
NT_168182.1	60264
NT_168225.1	60263
NT_168183.1	60138
NT_168186.1	59928
NT_168184.1	59461
NT_168185.1	59433
NT_168187.1	59252
NT_168206.1	59221
NT_168188.1	59047
NT_168195.1	58946
NT_168189.1	58830
NT_168191.1	58761
NT_168190.1	58698
NT_168198.1	58117
NT_168192.1	57933
NT_168203.1	57862
NT_168193.1	57710
NT_168194.1	57583
NT_168196.1	57416
NT_168205.1	57365
NT_168207.1	57256
NT_168197.1	57020
NT_168269.1	56726
NT_168199.1	56537
NT_168200.1	56496
NT_168204.1	56383
NT_168201.1	56183
NT_168202.1	56015
NT_168209.1	54891
NT_168208.1	54738
NT_168214.1	54669
NT_168210.1	54186
NT_168212.1	54136
NT_168211.1	54014
NT_168213.1	53087
NT_168215.1	52380
NT_168219.1	51863
NT_168221.1	51677
NT_168216.1	51613
NT_168217.1	51612
NT_168218.1	51370
NT_168228.1	51004
NT_168220.1	50844
NT_168222.1	50418
NT_168223.1	50398
NT_168224.1	50228
NT_168226.1	50118
NT_168227.1	49720
NT_168229.1	49684
NT_168238.1	49215
NT_168230.1	49025
NT_168231.1	48871
NT_168242.1	47914
NT_168232.1	47584
NT_168233.1	47539
NT_168234.1	47510
NT_168235.1	47463
NT_168236.1	47350
NT_168237.1	47239
NT_168239.1	46705
NT_168240.1	46413
NT_168247.1	46345
NT_168241.1	46242
NT_168244.1	45895
NT_168261.1	45831
NT_168245.1	45725
NT_168272.1	45498
NT_168246.1	45385
NT_168248.1	44285
NT_168249.1	44170
NT_168250.1	44084
NT_168251.1	44078
NT_168252.1	43742
NT_168264.1	43742
NT_168253.1	43628
NT_168254.1	43542
NT_168255.1	42812
NT_168277.1	42731
NT_168256.1	42561
NT_168257.1	42553
NT_168258.1	42551
NT_168259.1	42482
NT_168260.1	42413
NT_168262.1	42263
NT_168263.1	42127
NT_168265.1	41056
NT_168266.1	40606
NT_168268.1	40456
NT_168267.1	40362
NT_168270.1	39971
NT_168273.1	39962
NT_168271.1	39518
NT_168274.1	38844
NT_168275.1	36802
NT_168276.1	36522
NT_168278.1	35881
NT_168279.1	35861
NT_168280.1	35721
NT_168281.1	35685
NT_168282.1	35524
NT_168283.1	35133
NT_168284.1	34818
NT_168286.1	34812
NT_168287.1	34677
NT_168285.1	34598
NT_168288.1	34443
NT_168289.1	34389
NT_168290.1	33916
NT_168291.1	33816
NT_168294.1	33336
NT_168292.1	33184
NT_168293.1	32667
NT_168295.1	32113
NT_168296.1	31865
NT_168314.1	31417
NT_168307.1	31395
NT_168297.1	31120
NT_168298.1	30777
NT_168299.1	30351
NT_168311.1	30300
NT_168310.1	30211
NT_168300.1	30105
NT_168301.1	30008
NT_168305.1	29974
NT_168302.1	29905
NT_168303.1	29769
NT_168304.1	29748
NT_168308.1	29736
NT_168306.1	29438
NT_168333.1	29342
NT_168309.1	29273
NT_168312.1	29173
NT_168313.1	28967
NT_168315.1	28367
NT_168317.1	27808
NT_168322.1	27777
NT_168348.1	27738
NT_168316.1	27630
NT_168318.1	27329
NT_168319.1	26989
NT_168320.1	26982
NT_168321.1	26791
NT_168335.1	26516
NT_168334.1	26480
NT_168324.1	26451
NT_168323.1	26402
NT_168325.1	26327
NT_168326.1	26240
NT_168328.1	26167
NT_168342.1	25722
NT_168327.1	25679
NT_168329.1	25385
NT_168330.1	25346
NT_168331.1	25315
NT_168332.1	25247
NT_168336.1	24965
NT_168337.1	24693
NT_168344.1	24585
NT_168338.1	24558
NT_168339.1	24515
NT_168340.1	24372
NT_168341.1	24243
NT_168363.1	24119
NT_168343.1	24045
NT_168356.1	23995
NT_168345.1	23906
NT_168352.1	23773
NT_168383.1	23737
NT_168360.1	23714
NT_168347.1	23448
NT_168346.1	23430
NT_168361.1	23416
NT_168349.1	23323
NT_168350.1	23289
NT_168351.1	23211
NT_168355.1	23086
NT_168353.1	22861
NT_168354.1	22806
NT_168357.1	22742
NT_168359.1	22635
NT_168358.1	22599
NT_168362.1	22086
NT_168364.1	21947
NT_168376.1	21908
NT_168366.1	21811
NT_168365.1	21727
NT_168367.1	21641
NT_168368.1	21585
NT_168369.1	21576
NT_168370.1	21524
NT_168371.1	21485
NT_168372.1	21305
NT_168380.1	21273
NT_168373.1	21223
NT_168374.1	21209
NT_168375.1	21047
NT_168377.1	20824
NT_168389.1	20588
NT_168378.1	20504
NT_168390.1	20457
NT_168397.1	20358
NT_168379.1	20313
NT_168381.1	20115
NT_168382.1	20067
NT_168384.1	20037
NT_168385.1	20000
NT_168386.1	19991
NT_168387.1	19877
NT_168388.1	19845
NT_168393.1	19724
NT_168392.1	19562
NT_168395.1	19535
NT_168394.1	19515
NT_168423.1	19509
NT_168399.1	19480
NT_168396.1	19412
NT_168407.1	19386
NT_168412.1	19379
NT_168418.1	19331
NT_168411.1	19314
NT_168398.1	19305
NT_168425.1	19275
NT_168400.1	19184
NT_168401.1	19140
NT_168402.1	19067
NT_168403.1	18927
NT_168405.1	18898
NT_168404.1	18862
NT_168408.1	18701
NT_168406.1	18552
NT_168413.1	18532
NT_168424.1	18374
NT_168409.1	18302
NT_168410.1	18254
NT_168420.1	18248
NT_168422.1	18149
NT_168414.1	17905
NT_168429.1	17891
NT_168415.1	17886
NT_168416.1	17852
NT_168417.1	17765
NT_168419.1	17606
NT_168421.1	17492
NT_168441.1	17349
NT_168426.1	17077
NT_168427.1	17044
NT_168428.1	17022
NT_168432.1	16870
NT_168430.1	16861
NT_168431.1	16860
NT_168433.1	16787
NT_168450.1	16768
NT_168434.1	16706
NC_013663.1	16627
NT_168445.1	16607
NT_168460.1	16590
NT_168435.1	16546
NT_168471.1	16498
NT_168439.1	16338
NT_168453.1	16286
NT_168436.1	16239
NT_168437.1	16216
NT_168438.1	16210
NT_168440.1	16143
NT_168457.1	16117
NT_168442.1	15995
NT_168444.1	15953
NT_168443.1	15867
NT_168462.1	15837
NT_168446.1	15811
NT_168447.1	15701
NT_168488.1	15686
NT_168448.1	15615
NT_168449.1	15491
NT_168451.1	15325
NT_168452.1	15308
NT_168454.1	15262
NT_168476.1	15260
NT_168455.1	15241
NT_168480.1	15225
NT_168456.1	14988
NT_168463.1	14974
NT_168458.1	14917
NT_168507.1	14902
NT_168459.1	14888
NT_168461.1	14853
NT_168482.1	14626
NT_168464.1	14588
NT_168465.1	14497
NT_168466.1	14441
NT_168467.1	14282
NT_168530.1	14229
NT_168468.1	14172
NT_168469.1	14166
NT_168470.1	14162
NT_168483.1	14085
NT_168503.1	14061
NT_168472.1	14042
NT_168473.1	14017
NT_168474.1	13982
NT_168475.1	13976
NT_168499.1	13932
NT_168477.1	13844
NT_168478.1	13794
NT_168479.1	13787
NT_168481.1	13663
NT_168484.1	13606
NT_168511.1	13605
NT_168485.1	13536
NT_168486.1	13432
NT_168487.1	13429
NT_168489.1	13419
NT_168491.1	13326
NT_168490.1	13311
NT_168492.1	13233
NT_168493.1	13225
NT_168494.1	13190
NT_168495.1	13187
NT_168496.1	13185
NT_168525.1	13158
NT_168497.1	13029
NT_168498.1	13003
NT_168528.1	12953
NT_168500.1	12945
NT_168501.1	12943
NT_168502.1	12936
NT_168505.1	12920
NT_168601.1	12903
NT_168504.1	12890
NT_168506.1	12849
NT_168508.1	12821
NT_168515.1	12808
NT_168509.1	12779
NT_168510.1	12716
NT_168512.1	12687
NT_168516.1	12670
NT_168513.1	12668
NT_168514.1	12657
NT_168517.1	12523
NT_168518.1	12514
NT_168519.1	12491
NT_168520.1	12409
NT_168521.1	12367
NT_168522.1	12314
NT_168523.1	12312
NT_168524.1	12266
NT_168526.1	12196
NT_168527.1	12094
NT_168529.1	12072
NT_168536.1	12050
NT_168531.1	12031
NT_168532.1	11956
NT_168533.1	11896
NT_168534.1	11880
NT_168535.1	11750
NT_168537.1	11732
NT_168538.1	11649
NT_168541.1	11624
NT_168552.1	11617
NT_168585.1	11571
NT_168539.1	11539
NT_168544.1	11474
NT_168540.1	11459
NT_168542.1	11392
NT_168543.1	11378
NT_168555.1	11354
NT_168546.1	11317
NT_168545.1	11310
NT_168554.1	11296
NT_168547.1	11261
NT_168556.1	11249
NT_168548.1	11236
NT_168549.1	11201
NT_168550.1	11165
NT_168564.1	11159
NT_168551.1	11158
NT_168553.1	11143
NT_168558.1	11084
NT_168566.1	11011
NT_168557.1	10954
NT_168559.1	10936
NT_168560.1	10923
NT_168661.1	10890
NT_168619.1	10883
NT_168561.1	10852
NT_168562.1	10848
NT_168563.1	10840
NT_168565.1	10796
NT_168567.1	10740
NT_168568.1	10721
NT_168590.1	10663
NT_168569.1	10647
NT_168570.1	10635
NT_168571.1	10627
NT_168572.1	10569
NT_168574.1	10501
NT_168573.1	10501
NT_168682.1	10466
NT_168575.1	10445
NT_168576.1	10441
NT_168577.1	10435
NT_168578.1	10425
NT_168579.1	10352
NT_168788.1	10332
NT_168598.1	10329
NT_168592.1	10276
NT_168580.1	10273
NT_168581.1	10269
NT_168582.1	10262
NT_168583.1	10248
NT_168584.1	10244
NT_168586.1	10222
NT_168624.1	10220
NT_168587.1	10218
NT_168588.1	10199
NT_168589.1	10193
NT_168591.1	10134
NT_168616.1	10120
NT_168593.1	10118
NT_168594.1	10101
NT_168595.1	10100
NT_168596.1	10077
NT_168597.1	10025
NT_168599.1	9960
NT_168600.1	9958
NT_168641.1	9941
NT_168602.1	9923
NT_168603.1	9916
NT_168604.1	9914
NT_168605.1	9879
NT_168606.1	9867
NT_168705.1	9820
NT_168607.1	9808
NT_168608.1	9797
NT_168626.1	9785
NT_168609.1	9776
NT_168610.1	9773
NT_168611.1	9760
NT_168612.1	9753
NT_168613.1	9732
NT_168614.1	9728
NT_168615.1	9725
NT_168617.1	9641
NT_168691.1	9629
NT_168618.1	9614
NT_168620.1	9596
NT_168621.1	9596
NT_168622.1	9542
NT_168623.1	9473
NT_168625.1	9420
NT_168772.1	9419
NT_168627.1	9370
NT_168845.1	9357
NT_168628.1	9353
NT_168637.1	9347
NT_168629.1	9320
NT_168630.1	9308
NT_168631.1	9306
NT_168632.1	9288
NT_168633.1	9287
NT_168638.1	9275
NT_168634.1	9269
NT_168647.1	9259
NT_168635.1	9234
NT_168636.1	9232
NT_168639.1	9207
NT_168746.1	9199
NT_168640.1	9190
NT_168686.1	9187
NT_168642.1	9166
NT_168643.1	9162
NT_168644.1	9104
NT_168645.1	9100
NT_168646.1	9096
NT_168648.1	9079
NT_168649.1	9063
NT_168650.1	9047
NT_168652.1	9029
NT_168651.1	9029
NT_168653.1	9022
NT_168654.1	9010
NT_168655.1	9007
NT_168656.1	8989
NT_168657.1	8985
NT_168677.1	8983
NT_168658.1	8980
NT_168659.1	8969
NT_168660.1	8966
NT_168662.1	8927
NT_168663.1	8923
NT_168664.1	8923
NT_168665.1	8914
NT_168666.1	8889
NT_168668.1	8875
NT_168667.1	8875
NT_168669.1	8868
NT_168765.1	8855
NT_168693.1	8850
NT_168680.1	8828
NT_168676.1	8792
NT_168670.1	8791
NT_168671.1	8785
NT_168672.1	8744
NT_168673.1	8732
NT_168728.1	8712
NT_168674.1	8711
NT_168675.1	8688
NT_168748.1	8685
NT_168678.1	8666
NT_168679.1	8657
NT_168687.1	8618
NT_168681.1	8614
NT_168759.1	8605
NT_168683.1	8601
NT_168684.1	8575
NT_168685.1	8556
NT_168700.1	8548
NT_168688.1	8537
NT_168689.1	8529
NT_168690.1	8520
NT_168692.1	8480
NT_168694.1	8447
NT_168695.1	8417
NT_168701.1	8396
NT_168696.1	8389
NT_168697.1	8355
NT_168698.1	8341
NT_168699.1	8333
NT_168702.1	8297
NT_168703.1	8293
NT_168704.1	8275
NT_168706.1	8244
NT_168707.1	8237
NT_168708.1	8223
NT_168709.1	8208
NT_168710.1	8204
NT_168711.1	8183
NT_168712.1	8181
NT_168713.1	8181
NT_168714.1	8179
NT_168720.1	8165
NT_168715.1	8136
NT_168716.1	8127
NT_168717.1	8118
NT_168718.1	8118
NT_168719.1	8116
NT_168721.1	8096
NT_168722.1	8090
NT_168723.1	8088
NT_168724.1	8076
NT_168778.1	8074
NT_168725.1	8071
NT_168731.1	8021
NT_168726.1	8010
NT_168727.1	8009
NT_168729.1	8004
NT_168730.1	8002
NT_168732.1	8001
NT_168733.1	7995
NT_168811.1	7990
NT_168734.1	7981
NT_168735.1	7963
NT_168736.1	7958
NT_168737.1	7953
NT_168738.1	7931
NT_168739.1	7929
NT_168740.1	7927
NT_168741.1	7918
NT_168743.1	7912
NT_168742.1	7912
NT_168744.1	7872
NT_168745.1	7857
NT_168747.1	7812
NT_168749.1	7803
NT_168750.1	7798
NT_168751.1	7797
NT_168752.1	7790
NT_168753.1	7785
NT_168754.1	7775
NT_168755.1	7745
NT_168756.1	7742
NT_168849.1	7739
NT_168757.1	7713
NT_168758.1	7696
NT_168761.1	7681
NT_168760.1	7670
NT_168763.1	7631
NT_168762.1	7631
NT_168764.1	7629
NT_168766.1	7623
NT_168767.1	7605
NT_168768.1	7590
NT_168769.1	7571
NT_168770.1	7554
NT_168771.1	7552
NT_168810.1	7540
NT_168773.1	7525
NT_168774.1	7518
NT_168775.1	7515
NT_168776.1	7506
NT_168779.1	7499
NT_168777.1	7497
NT_168780.1	7465
NT_168781.1	7463
NT_168783.1	7445
NT_168782.1	7445
NT_168784.1	7442
NT_168785.1	7440
NT_168786.1	7426
NT_168787.1	7425
NT_168789.1	7414
NT_168790.1	7407
NT_168792.1	7407
NT_168791.1	7407
NT_169085.1	7406
NT_168914.1	7406
NT_168793.1	7396
NT_168794.1	7388
NT_168796.1	7383
NT_168795.1	7383
NT_168797.1	7377
NT_168799.1	7377
NT_168798.1	7364
NT_168800.1	7356
NT_168804.1	7336
NT_168801.1	7329
NT_168802.1	7295
NT_168803.1	7282
NT_168805.1	7274
NT_168806.1	7271
NT_168807.1	7255
NT_168808.1	7239
NT_168809.1	7232
NT_168823.1	7222
NT_168891.1	7215
NT_168812.1	7199
NT_168813.1	7189
NT_168814.1	7185
NT_168815.1	7184
NT_168816.1	7179
NT_168817.1	7174
NT_168818.1	7171
NT_168819.1	7137
NT_168820.1	7134
NT_168822.1	7105
NT_168821.1	7105
NT_168824.1	7090
NT_168825.1	7087
NT_168826.1	7075
NT_168827.1	7073
NT_168828.1	7060
NT_168831.1	7045
NT_168829.1	7044
NT_168830.1	7036
NT_168832.1	7017
NT_168833.1	7010
NT_168834.1	7007
NT_168835.1	7002
NT_168858.1	6992
NT_168836.1	6991
NT_168837.1	6989
NT_168838.1	6980
NT_168839.1	6949
NT_168840.1	6942
NT_168841.1	6910
NT_168842.1	6902
NT_168843.1	6881
NT_168844.1	6880
NT_168881.1	6829
NT_168846.1	6821
NT_168847.1	6819
NT_168848.1	6811
NT_168850.1	6810
NT_168851.1	6808
NT_168852.1	6802
NT_168853.1	6801
NT_168854.1	6772
